Date,Actual,ARIMA-Total,SARIMAX-Total,LightGBM-Total,ARIMA-Zone,SARIMAX-Zone,LightGBM-Zone,ARIMA-Type,SARIMAX-Type,LightGBM-Type,LSTM-Type,Transformer-Type,Transformer-Zone,LSTM-Total,Transformer-Total,LSTM-Zone
2019-05-06,3184.608066082682,6799.9541642048825,4218.06523362181,4257.5146447706575,6771.713401083034,4274.527494531766,4711.882323877029,6771.713401083034,4517.752836880144,4594.716435522311,4479.526275634766,3417.0470275878906,2682.6287841796875,3203.32299805,3004.57836914,3151.09921646
2019-05-07,9070.728399416012,7037.456055243898,8489.38939700952,8144.988029444279,7274.991795997011,8588.094364246626,8977.242925662855,7274.991795997011,9090.527823083296,9007.25011233974,9085.9228515625,9060.0380859375,7928.301452636719,9112.109375,8824.39746094,9087.8671875
2019-05-08,8701.131566082682,7619.778132829927,9948.667969039376,7822.986315269933,7878.329225719771,9463.361829547806,9710.237929828696,7878.329225719771,10161.664907754846,10084.955383765204,9085.9228515625,8424.230651855469,7876.917663574219,8706.64257812,8824.39746094,8635.04333496
2019-05-09,4794.091066082681,8092.941755899438,5394.116135556599,3632.573812303881,8359.226771864685,4997.353858596865,6371.648544493544,8359.226771864685,5490.739756278412,7162.899100141129,9085.9228515625,8982.295227050781,7443.565246582031,4943.55761719,3004.57836914,4749.57498169
2019-05-10,8644.658732749345,7715.542117220613,9153.679973456114,6427.060380476675,7447.273751493512,8974.527343669242,7648.469902795579,7447.273751493512,9546.54013910389,6536.129537369845,8244.872985839844,7958.952270507812,7789.292236328125,8655.05175781,8824.39746094,8673.7220459
2019-05-11,2568.621399416015,3958.03071576676,4452.745319086653,3736.5924248302354,3830.250105889313,4128.120812554667,4027.688834987631,3830.250105889313,4838.926842147791,4157.864626665606,3189.042297363281,2439.97216796875,2232.984588623047,2554.83496094,3004.57836914,2561.56164551
2019-05-12,2539.823899416016,3458.8158183820105,4978.376933347915,4451.904343568423,3257.4054409804435,3970.233692651936,4138.695653680788,3257.4054409804435,5480.543490905953,3656.226958968301,3189.042297363281,2912.1375122070312,2302.2471923828125,2535.83666992,3004.57836914,2546.03266525
2019-05-13,7724.228566082681,5656.680719798291,7498.722441181237,7382.363136095025,5730.3599045001365,7913.293233723351,6851.988450003173,5730.3599045001365,8003.823943486749,6043.495990236863,8244.872985839844,8874.331237792969,7296.3251953125,7731.28173828,7540.54736328,7813.14611816
2019-05-14,7660.131689854429,6799.805300567337,8165.381861195047,7208.809985870967,6966.304859979421,7939.508105211811,7488.464474863775,6966.304859979421,8813.429872061151,6662.493927604016,8244.872985839844,7269.475891113281,7107.759826660156,7635.77832031,7540.54736328,7701.47869873
2019-05-15,7568.576286819039,7369.119168294452,7121.394317756191,7946.227141076463,7913.447101921185,8201.455264931841,8004.485399314968,7913.447101921185,8703.698603789491,8582.348757529751,8244.872985839844,6841.7152099609375,6810.056457519531,7629.96582031,7540.54736328,7608.6159668
