Model,RMSE,MAE,MAPE,EV,RMSLE,% Diff
ARIMA-Total,1275.9060368704954,825.2544798520763,0.1823864941049264,0.638208124875669,0.2537474629175633,-0.624453144649353
SARIMAX-Total,771.0294460474732,543.6143013439735,0.1087185542031036,0.8677675780075425,0.1557781824227979,0.0194819093112102
LightGBM-Total,824.8049268827112,601.5112081431133,0.1202546372918773,0.8486802792656979,0.167254168948922,-0.0415968990876448
ARIMA-Zone,1218.664580246284,798.3907346212877,0.1770469885378994,0.6696626900602882,0.2460551245295453,-0.0858280706143112
SARIMAX-Zone,756.266649889331,529.4658502225486,0.101942880583142,0.8730540012525068,0.1503110185135429,0.5815773796650736
LightGBM-Zone,727.5612522554205,556.6450767097779,0.1118990465003258,0.8822782204372995,0.1522299199144716,-0.1636741027906739
ARIMA-Type,1218.664580246284,798.3907346212877,0.1770469885378994,0.6696626900602882,0.2460551245295453,-0.0858280706143112
SARIMAX-Type,782.4169310067342,547.238390595878,0.1065052579936709,0.8640339203916843,0.1535866996746657,0.50092347248033
LightGBM-Type,886.957264099765,624.3178548175814,0.1245367284292196,0.8256754898801666,0.1747753115324158,0.9075071285479124
